"normal_quantile","empirical_quantile"
-1.09389735260344,-0.910842459682942
-1.09086262893208,-0.909184670503595
-1.08783791849581,-0.906774312904057
-1.08482312794196,-0.904196092807968
-1.08181816519339,-0.898462868662697
-1.07882293942496,-0.897121683626501
-1.07583736104043,-0.888831107481066
-1.07286134165,-0.885970297172787
-1.06989479404827,-0.882997548584162
-1.06693763219277,-0.882082971839102
-1.06398977118292,-0.881977500137777
-1.06105112723954,-0.88102295561544
-1.05812161768478,-0.880738626013147
-1.05520116092244,-0.868101945589213
-1.05228967641885,-0.866175369993127
-1.0493870846841,-0.859829652663916
-1.04649330725368,-0.856704305484569
-1.04360826667053,-0.854427076876728
-1.04073188646754,-0.853736417880478
-1.03786409115035,-0.852510340374569
-1.03500480618056,-0.852044134195768
-1.03215395795931,-0.850722188093133
-1.0293114738112,-0.844166033928174
-1.02647728196857,-0.843626825577151
-1.02365131155609,-0.843178831053601
-1.02083349257569,-0.838850533112316
-1.01802375589183,-0.830855101870733
-1.01522203321703,-0.827657877619449
-1.01242825709775,-0.824616233202192
-1.00964236090055,-0.822237982975329
-1.00686427879852,-0.820170780949464
-1.00409394575803,-0.819675521033632
-1.00133129752569,-0.812932519816538
-0.99857627061566,-0.810476527062412
-0.995828802297131,-0.807015682397873
-0.993088830582139,-0.806301452940362
-0.990356294213575,-0.800539059048684
-0.987631132653452,-0.800070452185247
-0.984913286071416,-0.791290909494388
-0.98220269533347,-0.789554822520313
-0.979499301990942,-0.783153507500103
-0.976803048269651,-0.782696017147338
-0.974113877059309,-0.779369774866348
-0.97143173190311,-0.776431162411107
-0.968756556987539,-0.775596477897032
-0.966088297132373,-0.773675042513105
-0.963426897780878,-0.771184666445798
-0.960772304990192,-0.771163960157568
-0.958124465421903,-0.770333922153073
-0.955483326332795,-0.770274198206726
-0.952848835565784,-0.76319801125823
-0.950220941541015,-0.763164909693052
-0.947599593247138,-0.759231035406539
-0.944984740232741,-0.758206168243392
-0.942376332597951,-0.758012034605078
-0.939774320986186,-0.753582289876362
-0.937178656576067,-0.750834195642412
-0.93458929107348,-0.75058099340815
-0.932006176703778,-0.745945851998968
-0.929429266204136,-0.740115617756514
-0.926858512816044,-0.734998917292676
-0.924293870277933,-0.732752129144837
-0.921735292817943,-0.729693300638003
-0.91918273514682,-0.726358846684537
-0.916636152450934,-0.726092388652758
-0.914095500385439,-0.72238852097589
-0.911560735067541,-0.720707133189722
-0.909031813069893,-0.718538813671589
-0.906508691414112,-0.718464867921719
-0.903991327564402,-0.718258457987831
-0.901479679421297,-0.717340369750212
-0.898973705315516,-0.715024612705263
-0.896473364001916,-0.713865547597943
-0.893978614653564,-0.705153807278484
-0.891489416855903,-0.703840130739975
-0.889005730601025,-0.700090771578523
-0.886527516282038,-0.699114124445773
-0.88405473468754,-0.690924241755394
-0.881587346996175,-0.690676697999336
-0.879125314771293,-0.687259838742508
-0.876668599955698,-0.685472252261445
-0.874217164866483,-0.68150679902627
-0.871770972189959,-0.675629353244589
-0.869329984976658,-0.675287069966402
-0.866894166636438,-0.674257314129137
-0.864463480933651,-0.666796669118347
-0.862037891982408,-0.664662154149946
-0.859617364241911,-0.662056514416291
-0.857201862511873,-0.660710307063772
-0.854791351928003,-0.655770972877928
-0.852385797957575,-0.653502188981639
-0.849985166395066,-0.653324600261455
-0.847589423357864,-0.646385590770442
-0.84519853528205,-0.645778900425424
-0.842812468918244,-0.644703364871409
-0.840431191327524,-0.643865845548413
-0.838054669877407,-0.642907457091892
-0.835682872237893,-0.638452383322114
-0.833315766377581,-0.637834045180094
-0.830953320559838,-0.635467653038067
-0.828595503339034,-0.634094013013971
-0.826242283556835,-0.629614308087905
