"standardized_alpha","quantity","standardized_error"
-0.129527009370926,"Delta",-0.0377812904029791
0.059226199569892,"Delta",0.340586962437322
0.0916861191247366,"Delta",-0.156802152398244
1.5785442585487,"Delta",1.70961449987339
0.831568335460497,"Delta",0.498453236755607
0.989711232134976,"Delta",1.56626212398788
-0.547068690166053,"Delta",-0.646321239401377
0.256660762752527,"Delta",0.0434248730775815
-1.27870572458015,"Delta",-0.986370848048126
-0.597088166875961,"Delta",-0.676482838708512
-1.53461422086773,"Delta",-1.08105341861715
0.64770026571448,"Delta",0.42209035624846
-0.194312637662973,"Delta",-0.241782909994881
0.0163614573297029,"Delta",-0.583015235209546
0.144443860795074,"Delta",0.105419693617019
0.630266201361101,"Delta",0.426060301350772
0.706906396293079,"Delta",0.328287297602409
-0.334026226983322,"Delta",-0.412380531349649
-0.782696017147338,"Delta",-0.934756999841547
-1.38755556239354,"Delta",-1.02360337344805
0.978638430618376,"Delta",1.22279076099161
-0.477177688205608,"Delta",-0.654039669172351
-0.921560436429465,"Delta",-0.973952642160774
0.740566576426565,"Delta",0.477402370531454
-0.364706405467498,"Delta",-0.153211798905306
0.397900338073279,"Delta",0.0538419712722757
-1.48172217382744,"Delta",-1.09152009754008
0.438085838667423,"Delta",-0.44149551917588
0.109694760851716,"Delta",-0.405868477292774
0.0616018261281982,"Delta",-0.466158170186467
-2.1563170616191,"Delta",-1.33312819021389
-0.307555470536541,"Delta",-0.874434546464847
0.3942032869341,"Delta",1.1146813774344
0.609327685536332,"Delta",0.382811080848929
1.75064338366898,"Delta",1.91913821683811
-1.24158342731739,"Delta",-0.897834783062519
-0.700090771578523,"Delta",-0.748754883396131
0.591066847199747,"Delta",0.756690203203886
1.47058411131939,"Delta",1.85356512753298
0.293028821560263,"Delta",-0.366993662793171
1.02019476212308,"Delta",1.01949469234063
-1.0558979215845,"Delta",-0.98189177239076
-1.52139552272922,"Delta",-1.0414025674949
0.158452903718776,"Delta",0.328149354104347
-0.718538813671589,"Delta",-0.853329870835595
0.895877769707799,"Delta",0.197801441917777
1.01129931084909,"Delta",1.291292426941
0.418633227534558,"Delta",0.0879710844451212
1.43811916915857,"Delta",1.48199610336841
0.679239530923482,"Delta",0.785984496060133
-0.250324762358975,"Delta",0.039166971988907
0.271412029477959,"Delta",-0.121558171559151
0.519321627429943,"Delta",0.767136346578659
-0.880738626013147,"Delta",-0.574484193593963
-1.82461623157462,"Delta",-1.18271143534001
0.950616058105276,"Delta",0.789847601751367
0.992715358897067,"Delta",0.700352801823371
0.499291552373523,"Delta",0.0585898636271993
0.696427661680017,"Delta",0.434178519247752
-0.510285307034174,"Delta",-0.0897510680387715
0.0452385351644174,"Delta",-0.0758361497221662
-0.291052569414804,"Delta",-0.275306766998097
0.648308237779904,"Delta",0.635446842685136
1.26702024083791,"Delta",0.980520035488889
0.203374943511287,"Delta",0.43754690455578
-0.383291354528758,"Delta",-0.487596898550423
0.716253565342213,"Delta",0.567426922603249
-0.852044134195768,"Delta",-0.686899114347434
-1.34697951848032,"Delta",-0.972083075818531
0.469807631082277,"Delta",0.0058402942130376
1.14273110277427,"Delta",1.69160346496788
-0.518794937977279,"Delta",-0.480954333916888
0.123793623522683,"Delta",-0.0674249950116999
-0.844166033928174,"Delta",-0.734309902855972
-1.29628765996642,"Delta",-0.889799066591904
-0.23685085594431,"Delta",-0.591323748811481
0.00987727089802227,"Delta",-0.0412811470605189
0.110850014824011,"Delta",-0.345247637616306
0.20621958306985,"Delta",-0.00239059739524664
1.08403177599516,"Delta",1.27571483777467
0.118988927986703,"Delta",-0.0596049841574326
0.529253148724691,"Delta",0.456415893846398
-0.459065100227202,"Delta",-0.481143771469702
-0.284711344803387,"Delta",-0.309600326965233
0.758679745924797,"Delta",0.488686324215085
0.817387524506046,"Delta",0.339369616785162
0.148167798391974,"Delta",0.0989419745637856
1.49082059047582,"Delta",2.13103221607234
-0.76319801125823,"Delta",-0.601977840538728
-0.820170780949464,"Delta",-0.816754333672263
-0.259814428626064,"Delta",-0.240996096262586
0.0657887868735817,"Delta",0.14160530486498
-1.77846515681464,"Delta",-1.06188767016228
-1.16917002610573,"Delta",-0.941443385236503
-0.458808230726669,"Delta",-0.377321956884391
1.97672182441451,"Delta",3.26768972668354
1.04052975803445,"Delta",0.981709644389918
1.56731718305094,"Delta",1.99593933349383
-0.392415362051139,"Delta",-0.88082773816424
-0.017647636686064,"Delta",0.0743485270990004
2.01679257970629,"Delta",2.16940917802676
-0.0810630771769991,"Delta",-0.251170929710163
0.417710300263053,"Delta",-0.0165528860328632
-0.200739498017017,"Delta",0.103127352089398
0.0723550265446647,"Delta",-0.401641270374265
